rounds,score
180,27444600
181,27444600
182,27444600
183,27444600
184,27444600
185,27444600
186,27444600
187,27444600
188,27444600
189,27444600
190,27444600
191,27444600
192,27444600
193,27444600
194,27444600
195,27444600
196,27444600
197,27444600
198,27517800
199,27517800
200,27517800
201,27517800
202,27517800
203,27517800
204,27517800
205,27517800
206,27517800
207,27517800
208,27517800
209,27517800
210,27517800
211,27517800
212,27591000
213,27591000
214,27664200
215,27737400
216,27737400
217,27737400
218,27737400
220,27737400
221,27737400
222,27737400
223,27737400
224,27737400
225,27737400
226,27737400
227,27737400
228,27810600
229,27810600
230,27810600
231,27810600
232,27810600
233,27810600
234,27810600
235,27810600
236,27810600
237,27810600
238,27810600
239,27810600
240,27810600
241,27883800
242,27883800
243,27883800
244,27883800
245,27883800
246,27883800
247,27883800
248,27883800
249,27883800
250,27883800
251,27883800
252,27883800
253,27883800
254,27883800
255,27957000
256,27957000
257,27957000
258,27957000
259,27957000
260,27957000
261,27957000
262,27957000
263,27957000
264,27957000
265,27957000
266,27957000
267,27957000
268,27957000
269,28030200
270,28030200
271,28030200
272,28030200
273,28030200
274,28030200
275,28030200
276,28030200
277,28030200
278,28030200
279,28030200
280,28030200
281,28030200
282,28030200
283,28030200
284,28030200
285,28030200
286,28030200
287,28030200
288,28030200
289,28030200
290,28103400
291,28103400
292,28103400
293,28103400
294,28103400
295,28103400
296,28103400
297,28103400
298,28103400
299,28103400
300,28103400
301,28103400
302,28103400
303,28103400
304,28103400
305,28103400
306,28103400
307,28103400
309,28103400
310,28176600
311,28176600
312,28176600
313,28176600
314,28176600
316,28176600
317,28176600
318,28176600
319,28176600
320,28176600
321,28176600
323,28249800
324,28249800
325,28249800
326,28249800
327,28249800
328,28249800
329,28249800
330,28249800
331,28323000
333,28323000
334,28323000
335,28323000
336,28323000
337,28323000
338,28323000
339,28323000
340,28323000
341,28323000
342,28323000
343,28323000
344,28323000
345,28323000
346,28323000
347,28323000
348,28323000
349,28323000
350,28323000
351,28323000
352,28323000
353,28323000
354,28323000
355,28396200
356,28396200
357,28396200
358,28396200
359,28396200
360,28396200
361,28396200
362,28396200
363,28396200
365,28396200
366,28396200
368,28396200
369,28396200
370,28396200
371,28396200
372,28396200
373,28396200
374,28396200
375,28396200
376,28396200
377,28396200
378,28396200
379,28396200
380,28396200
381,28396200
382,28396200
383,28396200
384,28396200
387,28396200
388,28396200
389,28396200
390,28396200
391,28396200
392,28396200
393,28396200
394,28396200
395,28396200
396,28396200
397,28396200
398,28396200
399,28396200
400,28396200
401,28396200
402,28396200
403,28396200
404,28396200
405,28396200
406,28396200
408,28396200
409,28396200
410,28396200
411,28396200
412,28469400
413,28469400
414,28469400
415,28469400
416,28469400
417,28469400
418,28469400
419,28469400
420,28469400
421,28469400
422,28469400
423,28469400
424,28469400
425,28469400
426,28469400
427,28469400
428,28469400
429,28469400
430,28469400
431,28542600
432,28542600
433,28542600
434,28542600
435,28542600
436,28615800
437,28615800
438,28615800
439,28615800
440,28615800
441,28615800
442,28615800
443,28615800
444,28615800
445,28615800
446,28615800
447,28615800
448,28615800
449,28615800
450,28689000
451,28689000
452,28689000
453,28689000
454,28689000
455,28689000
456,28762200
457,28762200
458,28762200
459,28762200
460,28762200
461,28762200
462,28835400
463,28835400
464,28835400
465,28835400
466,28835400
467,28835400
468,28835400
469,28835400
470,28835400
471,28835400
472,28835400
473,28835400
474,28835400
475,28908600
476,28908600
477,28908600
478,28908600
479,28908600
480,28908600
481,28908600
482,28908600
483,28908600
484,28908600
485,28908600
486,28908600
487,28908600
488,28908600
489,28908600
490,28908600
491,28908600
492,28908600
493,28908600
494,28908600
495,28908600
496,28908600
497,28908600
498,28908600
499,28981800
500,28981800
501,28981800
502,29055000
503,29055000
504,29055000
505,29055000
506,29055000
507,29055000
508,29055000
509,29055000
510,29055000
511,29055000
512,29055000
513,29055000
514,29055000
515,29055000
516,29128200
517,29128200
518,29128200
519,29128200
520,29128200
521,29128200
522,29128200
523,29128200
524,29128200
525,29128200
526,29128200
527,29128200
528,29128200
529,29128200
530,29128200
531,29128200
532,29128200
533,29128200
534,29201400
535,29201400
536,29201400
537,29201400
538,29201400
539,29201400
540,29201400
541,29201400
542,29201400
543,29201400
544,29201400
545,29201400
546,29201400
547,29201400
548,29201400
549,29201400
550,29201400
551,29201400
552,29201400
553,29201400
554,29201400
555,29201400
556,29201400
557,29201400
558,29201400
559,29201400
560,29201400
561,29201400
562,29201400
563,29201400
564,29201400
565,29201400
566,29201400
567,29201400
568,29201400
569,29201400
570,29201400
571,29201400
572,29201400
573,29201400
574,29201400
575,29201400
576,29201400
577,29201400
578,29201400
579,29201400
580,29201400
581,29201400
582,29201400
583,29201400
584,29201400
585,29274600
586,29274600
587,29274600
588,29274600
589,29274600
590,29274600
591,29274600
592,29274600
593,29274600
594,29347800
595,29421000
596,29421000
597,29421000
598,29421000
599,29421000
600,29421000
601,29421000
602,29421000
603,29421000
604,29421000
605,29421000
606,29421000
607,29421000
608,29421000
609,29421000
610,29421000
611,29421000
612,29421000
613,29421000
614,29421000
615,29421000
616,29421000
617,29421000
618,29421000
619,29421000
620,29421000
621,29421000
622,29421000
623,29421000
624,29421000
625,29421000
626,29421000
627,29421000
628,29421000
629,29421000
630,29421000
631,29421000
632,29421000
633,29421000
634,29421000
636,29421000
637,29421000
638,29421000
639,29421000
640,29421000
641,29421000
642,29421000
643,29421000
644,29421000
645,29421000
646,29421000
647,29421000
648,29421000
649,29421000
650,29421000
651,29421000
652,29421000
653,29421000
654,29421000
655,29421000
656,29421000
657,29421000
658,29421000
659,29494200
660,29494200
661,29494200
662,29494200
663,29494200
664,29494200
665,29494200
666,29494200
667,29494200
668,29494200
669,29494200
670,29494200
671,29494200
672,29494200
